# time [s]	phi_1 [rad]	phi_2 [rad]
5.559999999999999609e+00	3.345023824135273105e-01	8.982393604784274510e-01
5.599999999999999645e+00	3.318670017546747619e-01	9.162290710609294342e-01
5.639999999999999680e+00	3.293833640743050184e-01	9.338718459555090945e-01
5.679999999999999716e+00	3.270452405865968415e-01	9.511866505099820790e-01
5.719999999999999751e+00	3.248469846888433210e-01	9.681907373385231219e-01
5.759999999999999787e+00	3.227834614499803245e-01	9.848998546476142035e-01
5.799999999999999822e+00	3.208499877523841581e-01	1.001328423056540462e+00
5.839999999999999858e+00	3.190422820048453567e-01	1.017489684426759577e+00
5.879999999999999893e+00	3.173564205384172277e-01	1.033395830675986948e+00
5.919999999999999929e+00	3.157887999417193781e-01	1.049058114979558365e+00
5.959999999999999964e+00	3.143361043861984117e-01	1.064486948176217807e+00
6.000000000000000000e+00	3.129952771315817062e-01	1.079691982779267700e+00
6.040000000000000036e+00	3.117634955771577121e-01	1.094682186473779684e+00
6.080000000000000071e+00	3.106381493348983058e-01	1.109465906656453393e+00
6.120000000000000107e+00	3.096168208853510295e-01	1.124050927320682236e+00
6.160000000000000142e+00	3.086972684522090171e-01	1.138444519366642149e+00
6.200000000000000178e+00	3.078774107906021018e-01	1.152653485240598519e+00
6.240000000000000213e+00	3.071553136323678102e-01	1.166684198664382555e+00
6.280000000000000249e+00	3.065291775712216116e-01	1.180542640098209306e+00
6.320000000000000284e+00	3.059973272035017566e-01	1.194234428482753962e+00
6.360000000000000320e+00	3.055582013673512898e-01	1.207764849725682321e+00
6.400000000000000355e+00	3.052103443458502596e-01	1.221138882330642383e+00
6.440000000000000391e+00	3.049523979185767564e-01	1.234361220510424628e+00
6.480000000000000426e+00	3.047830941620177647e-01	1.247436295078728330e+00
6.519999999999999574e+00	3.047012489127006729e-01	1.260368292375085408e+00
6.559999999999999609e+00	3.047057558183143833e-01	1.273161171443686790e+00
6.599999999999999645e+00	3.047955809117758319e-01	1.285818679658134123e+00
6.639999999999999680e+00	3.049697576514482922e-01	1.298344366959626850e+00
6.679999999999999716e+00	3.052273823777746919e-01	1.310741598855110546e+00
6.719999999999999751e+00	3.055676101426188507e-01	1.323013568304045595e+00
6.759999999999999787e+00	3.059896508728661146e-01	1.335163306607110689e+00
6.799999999999999822e+00	3.064927658344296924e-01	1.347193693396867564e+00
6.839999999999999858e+00	3.070762643667998004e-01	1.359107465818522931e+00
6.879999999999999893e+00	3.077395008615784189e-01	1.370907226978543836e+00
6.919999999999999929e+00	3.084818719612951177e-01	1.382595453730273816e+00
6.959999999999999964e+00	3.093028139575743074e-01	1.394174503858738756e+00
7.000000000000000000e+00	3.102018003682699421e-01	1.405646622717197092e+00
7.040000000000000036e+00	3.111783396811937386e-01	1.417013949371781045e+00
7.080000000000000071e+00	3.122319732482851662e-01	1.428278522290796770e+00
7.120000000000000107e+00	3.133622733032533358e-01	1.439442284614933509e+00
7.160000000000000142e+00	3.145688411149568098e-01	1.450507089058446830e+00
7.200000000000000178e+00	3.158513052469470450e-01	1.461474702460215269e+00
7.240000000000000213e+00	3.172093199199392255e-01	1.472346810018105856e+00
7.280000000000000249e+00	3.186425634673587526e-01	1.483125019232119701e+00
7.320000000000000284e+00	3.201507368758537697e-01	1.493810863579813963e+00
7.360000000000000320e+00	3.217335624034154407e-01	1.504405805945296937e+00
7.400000000000000355e+00	3.233907822684228273e-01	1.514911241821121690e+00
7.440000000000000391e+00	3.251221574035244033e-01	1.525328502300625333e+00
7.480000000000000426e+00	3.269274662688141375e-01	1.535658856876692457e+00
7.519999999999999574e+00	3.288065037192381412e-01	1.545903516061506888e+00
7.559999999999999609e+00	3.307590799216082456e-01	1.556063633840562455e+00
7.599999999999999645e+00	3.327850193169893944e-01	1.566140309973091949e+00
7.639999999999999680e+00	3.348841596245857866e-01	1.576134592150002733e+00
7.679999999999999716e+00	3.370563508835711652e-01	1.586047478019510848e+00
7.719999999999999751e+00	3.393014545295977014e-01	1.595879917089806144e+00
7.759999999999999787e+00	3.416193425029893649e-01	1.605632812517324037e+00
